account,owner,outcome,durationMinutes,tags,transcript
Northstar Health,Maya,won,24,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,25,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,26,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,27,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,28,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,29,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,30,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,31,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,32,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,33,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,34,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,35,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,36,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,37,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,38,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,39,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,40,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,41,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,42,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,43,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,44,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,45,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,46,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,47,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,48,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,49,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,50,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,51,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,52,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,53,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,54,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,55,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,56,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,57,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,58,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,59,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,60,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,61,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,62,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,63,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,64,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,24,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,25,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,26,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,27,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,28,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,29,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,30,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,31,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,32,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,33,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,34,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,35,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,36,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,37,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,38,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,39,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,40,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,41,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,42,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,43,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,44,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,45,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,46,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,47,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,48,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,49,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,50,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,51,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,52,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,53,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,54,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,55,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,56,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,57,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,58,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,59,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,60,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,61,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,62,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,63,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,64,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,24,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,25,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,26,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,27,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,28,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,29,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,30,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,31,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,32,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,33,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,34,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,35,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,36,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,37,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,38,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,39,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,40,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,41,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,42,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,43,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,44,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,45,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,46,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,47,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,48,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,49,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,50,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,51,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,52,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,53,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,54,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,55,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,56,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,57,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,58,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,59,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,60,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,61,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,62,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,63,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,64,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,24,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,25,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,26,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,27,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,28,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,29,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,30,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,31,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,32,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,33,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,34,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,35,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,36,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,37,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,38,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,39,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,40,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,41,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,42,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,43,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,44,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,45,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,46,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,47,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,48,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,49,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,50,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,51,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,52,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,53,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,54,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,55,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,56,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,57,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,58,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,59,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,60,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,61,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,62,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,63,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,64,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,24,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,25,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,26,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,27,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,28,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,29,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,30,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,31,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,32,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,33,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,34,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,35,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,36,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,37,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,38,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,39,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,40,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,41,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,42,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,43,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,44,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,45,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,46,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,47,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,48,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,49,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,50,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,51,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,52,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,53,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,54,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,55,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,56,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,57,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,58,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,59,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,60,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,61,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,62,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,63,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,64,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,24,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,25,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,26,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,27,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,28,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,29,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,30,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,31,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,32,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,33,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,34,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,35,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,36,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,37,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,38,expansion,"Rep asked about business impact and buyer named the next owner."
